"id","title","price","meters","rooms","address","area","link"
"94523909","Wohnen mitten im Stuttgarter Westen","320000","80","3","Ludwig-Pfau-Strasse 0, West, Stuttgart","48.7812488 9.1599121","http://www.immobilienscout24.de/expose/94523909"
"94522851","3-Zimmer-Wohnung in Stuttgart-Weilimdorf an Kapitalanleger zu verkaufen.","355000","82","3","Wolfbusch, Stuttgart","48.80285 9.11095","http://www.immobilienscout24.de/expose/94522851"
"94521206","Wunderschöne 4-Zimmer-Altbauwohnung mit 2 Balkonen und Ausblick","425000","106","4","Rosenbergstraße 101, West, Stuttgart","48.77717 9.15302","http://www.immobilienscout24.de/expose/94521206"
"94512728","Schöne drei Zimmer Wohnung in Stuttgart Riedenberg","217000","75","3","Brunnenwiesenstraße 25, Riedenberg, Stuttgart","Riedenberg","http://www.immobilienscout24.de/expose/94512728"
"94507762","Neuwertig Lichtdurchflutet! Wohnen auf 2 Ebenen in bester Lage von Stuttgart-Riedenberg!","550000","119","4","Riedenberg, Stuttgart","48.7361281 9.2109935","http://www.immobilienscout24.de/expose/94507762"
"94506977","Traumwohnung am Probstsee (Seepark Suiten). 35 Zi-EG-Whg. (ca. 113 qm) mit Terrasse!","565000","113","3","Möhringen, Stuttgart","48.7236185 9.1459902","http://www.immobilienscout24.de/expose/94506977"
"94503522","TRAUMLOFT IM WESTEN - NAHE BOSCH AREAL","595000","160","4","West, Stuttgart","48.7670839 9.1087963","http://www.immobilienscout24.de/expose/94503522"
"94499724","Verkaufe 1 ZW Stuttgart -Mitte -Ost  an Kapitalanleger nur € 125.000","125000","29","1","Mitte, Stuttgart","48.7791249 9.1800904","http://www.immobilienscout24.de/expose/94499724"
"94493906","Super 3 Zimmer-Wohnung mitten in Stuttgart WG-tauglich","329000","71","3","Mitte, Stuttgart","48.7791249 9.1800904","http://www.immobilienscout24.de/expose/94493906"
"94493387","* Frühlingsstart auf der XXL - Terrasse *","349000","88","3","Nord, Stuttgart","48.7927231 9.1684625","http://www.immobilienscout24.de/expose/94493387"
"94490010","Beste Lage UND Beste Aussicht - Penthouse am Killesberg","1189000","134","4","Nord, Stuttgart","48.7927231 9.1684625","http://www.immobilienscout24.de/expose/94490010"
"94488059","*Die Gedanken sind frei* Helle 1-Zimmer-Wohnung *flexibel nutzbar*","119999","28","1","Ost, Stuttgart","48.7820069 9.2086769","http://www.immobilienscout24.de/expose/94488059"
"94487011","1 Zi.-Whg. mit ca. 33 qm und Balkon in Stuttgart-Botnang","79000","34","1","Leharstr. 4, Botnang, Stuttgart","48.7815276 9.1309804","http://www.immobilienscout24.de/expose/94487011"
"94485166","''Im Stadtkern! - 3-Zi.-OG-ETW mit optimaler Raumaufteilung in S-Feuerbach!","220000","72","3","Feuerbach, Stuttgart","48.8116009 9.1589461","http://www.immobilienscout24.de/expose/94485166"
"94484456","Interessante Wohnung! Interessante Kapitalanlage!","159000","63","3","Hofen, Stuttgart","48.8319502 9.2166418","http://www.immobilienscout24.de/expose/94484456"
"94482750","4 Zimmer 2 Bäder Garten - sofort beziehbar!","670000","135","4","Nord, Stuttgart","48.7927231 9.1684625","http://www.immobilienscout24.de/expose/94482750"
"94481042","Sonnige Maisonettewohnung mit 2-5 Zimmern 10 Gehminuten zum Bahnhof.","680000","137","4","Nord, Stuttgart","48.7927231 9.1684625","http://www.immobilienscout24.de/expose/94481042"
"94473759","Schöne drei Zimmer Wohnung in Stuttgart Stammheim","160000","59","3","Stammheim, Stuttgart","48.847362 9.1508844","http://www.immobilienscout24.de/expose/94473759"
"94472286","Wohnen am Stadtpark - schöne drei Zimmer Wohnung in Stuttgart Zuffenhausen","310000","76","3","Zuffenhausen, Stuttgart","48.8332507 9.1688055","http://www.immobilienscout24.de/expose/94472286"
"94471147","3 Zimmer Wohnung in Stuttgart-Vaihingen sofort bezugsfrei","235000","65","3","Vaihingen, Stuttgart","48.7303646 9.1079418","http://www.immobilienscout24.de/expose/94471147"
"94523909","Wohnen mitten im Stuttgarter Westen","320000","80","3","Ludwig-Pfau-Strasse 0, West, Stuttgart","48.7812488 9.1599121","http://www.immobilienscout24.de/expose/94523909"
"94522851","3-Zimmer-Wohnung in Stuttgart-Weilimdorf an Kapitalanleger zu verkaufen.","355000","82","3","Wolfbusch, Stuttgart","48.80285 9.11095","http://www.immobilienscout24.de/expose/94522851"
"94521206","Wunderschöne 4-Zimmer-Altbauwohnung mit 2 Balkonen und Ausblick","425000","106","4","Rosenbergstraße 101, West, Stuttgart","48.77717 9.15302","http://www.immobilienscout24.de/expose/94521206"
"94512728","Schöne drei Zimmer Wohnung in Stuttgart Riedenberg","217000","75","3","Brunnenwiesenstraße 25, Riedenberg, Stuttgart","Riedenberg","http://www.immobilienscout24.de/expose/94512728"
"94507762","Neuwertig Lichtdurchflutet! Wohnen auf 2 Ebenen in bester Lage von Stuttgart-Riedenberg!","550000","119","4","Riedenberg, Stuttgart","48.7361281 9.2109935","http://www.immobilienscout24.de/expose/94507762"
"94506977","Traumwohnung am Probstsee (Seepark Suiten). 35 Zi-EG-Whg. (ca. 113 qm) mit Terrasse!","565000","113","3","Möhringen, Stuttgart","48.7236185 9.1459902","http://www.immobilienscout24.de/expose/94506977"
"94503522","TRAUMLOFT IM WESTEN - NAHE BOSCH AREAL","595000","160","4","West, Stuttgart","48.7670839 9.1087963","http://www.immobilienscout24.de/expose/94503522"
"94499724","Verkaufe 1 ZW Stuttgart -Mitte -Ost  an Kapitalanleger nur € 125.000","125000","29","1","Mitte, Stuttgart","48.7791249 9.1800904","http://www.immobilienscout24.de/expose/94499724"
"94493906","Super 3 Zimmer-Wohnung mitten in Stuttgart WG-tauglich","329000","71","3","Mitte, Stuttgart","48.7791249 9.1800904","http://www.immobilienscout24.de/expose/94493906"
"94493387","* Frühlingsstart auf der XXL - Terrasse *","349000","88","3","Nord, Stuttgart","48.7927231 9.1684625","http://www.immobilienscout24.de/expose/94493387"
"94490010","Beste Lage UND Beste Aussicht - Penthouse am Killesberg","1189000","134","4","Nord, Stuttgart","48.7927231 9.1684625","http://www.immobilienscout24.de/expose/94490010"
"94488059","*Die Gedanken sind frei* Helle 1-Zimmer-Wohnung *flexibel nutzbar*","119999","28","1","Ost, Stuttgart","48.7820069 9.2086769","http://www.immobilienscout24.de/expose/94488059"
"94487011","1 Zi.-Whg. mit ca. 33 qm und Balkon in Stuttgart-Botnang","79000","34","1","Leharstr. 4, Botnang, Stuttgart","48.7815276 9.1309804","http://www.immobilienscout24.de/expose/94487011"
"94485166","''Im Stadtkern! - 3-Zi.-OG-ETW mit optimaler Raumaufteilung in S-Feuerbach!","220000","72","3","Feuerbach, Stuttgart","48.8116009 9.1589461","http://www.immobilienscout24.de/expose/94485166"
"94484456","Interessante Wohnung! Interessante Kapitalanlage!","159000","63","3","Hofen, Stuttgart","48.8319502 9.2166418","http://www.immobilienscout24.de/expose/94484456"
"94482750","4 Zimmer 2 Bäder Garten - sofort beziehbar!","670000","135","4","Nord, Stuttgart","48.7927231 9.1684625","http://www.immobilienscout24.de/expose/94482750"
"94481042","Sonnige Maisonettewohnung mit 2-5 Zimmern 10 Gehminuten zum Bahnhof.","680000","137","4","Nord, Stuttgart","48.7927231 9.1684625","http://www.immobilienscout24.de/expose/94481042"
"94473759","Schöne drei Zimmer Wohnung in Stuttgart Stammheim","160000","59","3","Stammheim, Stuttgart","48.847362 9.1508844","http://www.immobilienscout24.de/expose/94473759"
"94472286","Wohnen am Stadtpark - schöne drei Zimmer Wohnung in Stuttgart Zuffenhausen","310000","76","3","Zuffenhausen, Stuttgart","48.8332507 9.1688055","http://www.immobilienscout24.de/expose/94472286"
"94471147","3 Zimmer Wohnung in Stuttgart-Vaihingen sofort bezugsfrei","235000","65","3","Vaihingen, Stuttgart","48.7303646 9.1079418","http://www.immobilienscout24.de/expose/94471147"
"94469285","***BURGHALDE: Moderne familienfreundliche 6-Zi.-Maisonette-Wohnung in ruhiger Lage***","1125000","212","6","Nord, Stuttgart","48.7927231 9.1684625","http://www.immobilienscout24.de/expose/94469285"
"94469195","***Exklusiver Wohnkomfort: 2-Zimmer-Penthouse-Wohnung in absoluter Aussichtslage von Stuttgart***","858000","101","2","Feuerbach, Stuttgart","48.8116009 9.1589461","http://www.immobilienscout24.de/expose/94469195"
"94469050","3 ZIMMER-WOHNUNG","260000","84","3","Bad Cannstatt, Stuttgart","48.8084576 9.2250355","http://www.immobilienscout24.de/expose/94469050"
"94468451","Dachstudio-Wohnung","362000","100","4","Stammheim, Stuttgart","48.847362 9.1508844","http://www.immobilienscout24.de/expose/94468451"
"94466236","Klein aber fein! Ideale Wohnung für Kapitalanleger.","95000","27","1","Feuerbach, Stuttgart","48.8116009 9.1589461","http://www.immobilienscout24.de/expose/94466236"
"94464515","Wohnung mit Garage und Carport","413000","107","4","Anna-Peters-Straße xxx, Sonnenberg, Stuttgart","Sonnenberg","http://www.immobilienscout24.de/expose/94464515"
"94459661","3 Zimmer- TERRASSEN Wohnung in ruhiger Lage","240000","70","3","Untertürkheim, Stuttgart","48.7856737 9.2561587","http://www.immobilienscout24.de/expose/94459661"
"94457084","Diese sympathische Wohnung wird Sie sofort begeistern!","397000","91","3","West, Stuttgart","48.7670839 9.1087963","http://www.immobilienscout24.de/expose/94457084"
"94456796","große DG-4 Zi.Wohnung mit Balkon -vermietet","425000","116","4","Neue Strasse 137, Ost, Stuttgart","48.7710252 9.2083197","http://www.immobilienscout24.de/expose/94456796"
"94456232","für Kapitalanleger - Vermietete 4-Zimmerwohnung mit Balkon und separatem Hobbyraum","259000","75","4","Wangen, Stuttgart","48.7745968 9.2364427","http://www.immobilienscout24.de/expose/94456232"
"94440572","Attraktive 3-Zimmer-Wohnung nahe Porsche/Bosch!","147500","55","3","Zuffenhausen, Stuttgart","48.8332507 9.1688055","http://www.immobilienscout24.de/expose/94440572"
"94439662","Top-Lage! 1-Zimmer-Appartement mit Balkon in begehrter (Halbhöhen-)Lage des Stuttgarter Westen!","98000","19","1","West, Stuttgart","48.7670839 9.1087963","http://www.immobilienscout24.de/expose/94439662"
"94439117","+++Für Selbstnutzer oder als attraktive Kapitalanlage+++","145000","55","2","Ost, Stuttgart","48.7820069 9.2086769","http://www.immobilienscout24.de/expose/94439117"
"94438543","Schöne 45 Zimmer Wohnung in Stuttgart-Nord (privater Anbieter).","919000","130","4","Nord, Stuttgart","48.7927231 9.1684625","http://www.immobilienscout24.de/expose/94438543"
"94438342","Renovierungsbedürfte 3-Zi- Whg in Stgt West m Kü-Balkon","250000","90","3","West, Stuttgart","48.7670839 9.1087963","http://www.immobilienscout24.de/expose/94438342"
"94437668","2x Zwei-Zimmer-Whg. für Kapitalanleger oder Selbstnutzer","449000","93","4","Möhringerstr 65A, Süd, Stuttgart","48.7613932 9.158967","http://www.immobilienscout24.de/expose/94437668"
"94429395","Helle und gut geschnittene 45-Zi.-Wohnung *Balkon TG-Stellplatz Aufzug u.v.m.*","370000","115","4","Wangen, Stuttgart","48.7745968 9.2364427","http://www.immobilienscout24.de/expose/94429395"
"94428133","Erstbezug im Mai 2017: Schön geschnittene 4-Zi-Wohnung","899900","134","4","Wiederholdstraße 15B, Nord, Stuttgart","48.78659 9.16789","http://www.immobilienscout24.de/expose/94428133"
"94415356","Provisionsfreie grosszügig geschnittene Wohnung in toller Lage im Stuttgarter Süden","255000","70","2","Süd, Stuttgart","48.7608788 9.1548908","http://www.immobilienscout24.de/expose/94415356"
"94401229","Eine Rarität in gesuchtem Wohngebiet","450000","82","3","na","na","http://www.immobilienscout24.de/expose/94401229"
"94400208","Schöne Helle 3-Zimmerwohnung S-Weilimdorf","225000","70","3","na","na","http://www.immobilienscout24.de/expose/94400208"
"94398402","Wohnen im beliebten Westen! 3 Zi. - Whg. mit Balkon","349000","77","3","na","na","http://www.immobilienscout24.de/expose/94398402"
"94396025","*** Urban Living ***","492000","91","3","na","na","http://www.immobilienscout24.de/expose/94396025"
"94387535","Moderne 4-Zimmer-Erdgeschosswohnung","420000","89","4","na","na","http://www.immobilienscout24.de/expose/94387535"
"94380871","Citywohnung nahe Königstraße","298000","73","3","na","na","http://www.immobilienscout24.de/expose/94380871"
"94380376","Schöne Jugendstil-Wohnung im gut renovierten 4-Familienhaus","249000","69","3","na","na","http://www.immobilienscout24.de/expose/94380376"
"94379266","Grosszügige 25 Zimmerwohnung mit grossem Balkon","220000","86","2","na","na","http://www.immobilienscout24.de/expose/94379266"
"94377662","60 % verkauft : 3 Zimmer - Wohnung mit Dachterrasse für Freude am Wohnen in S- Möhringen","458200","88","3","na","na","http://www.immobilienscout24.de/expose/94377662"
"94374594","Umbau zur Wohnung eventuell möglich - jetzt noch Ladengeschäft","150000","75","2","na","na","http://www.immobilienscout24.de/expose/94374594"
"94359108","Schöne geräumige zwei Zimmer Wohnung in Stuttgart Möhringen","195000","63","2","na","na","http://www.immobilienscout24.de/expose/94359108"
"94358982","4 Zimmer EG Wohnung","379000","110","4","na","na","http://www.immobilienscout24.de/expose/94358982"
"94343061","Traumwohnung am Probstsee (Seepark Suiten). 35 Zi-EG-Whg. (ca. 113 qm) mit Terrasse!","565000","113","3","na","na","http://www.immobilienscout24.de/expose/94343061"
"94342221","Exclusive Wohnung mit Waldblick","420000","76","3","na","na","http://www.immobilienscout24.de/expose/94342221"
"94334276","Schöne drei Zimmer Wohnung in Stuttgart Degerloch","369000","87","3","na","na","http://www.immobilienscout24.de/expose/94334276"
"94330710","Provisionsfrei: Kapitalanlage in Stuttgart Süd mit bester Infrastruktur","246000","60","2","na","na","http://www.immobilienscout24.de/expose/94330710"
"94329068","Dachgeschoss-Wohnung für Singles oder Paare - auch als Kapitalanlage geeignet!","189000","58","2","na","na","http://www.immobilienscout24.de/expose/94329068"
"94327068","Perfekt zur Kapitalanlage - Großzügig gestaltete Wohnung in Zuffenhausen","275000","90","4","na","na","http://www.immobilienscout24.de/expose/94327068"
"94313411","Zentral und Modern ++ 3-Zimmer Eigentumswohnung","284500","83","3","na","na","http://www.immobilienscout24.de/expose/94313411"
"94311750","Auf einer Ebene: moderne große 55 Zimmer-Wohnung in 3-Fam.Haus mit EBK Terrasse 2 Stellplätze","499000","141","5","na","na","http://www.immobilienscout24.de/expose/94311750"
"94310207","Helle 3 Zimmer Wohnung mit Balkon und Garten","209000","70","3","na","na","http://www.immobilienscout24.de/expose/94310207"
"94306157","Starke Kapitalanlage aber auch viele Vorteile bei Eigennutzung","176410","59","2","na","na","http://www.immobilienscout24.de/expose/94306157"
"94305074","Provisionsfrei: Kapitalanlage in Stuttgart Süd mit bester Infrastruktur","312500","78","2","na","na","http://www.immobilienscout24.de/expose/94305074"
"94301034","Schöne 35 - Zimmer-Wohnung mit Balkon in Stuttgart-Möhringen (Fasanenhof) - Frei nach Vereinbarung","240000","80","3","na","na","http://www.immobilienscout24.de/expose/94301034"
"94299841","4 1/2-Zimmer-ETW im 18. Stock/C-Block in der Wohnstadt Asemwald","339000","103","4","na","na","http://www.immobilienscout24.de/expose/94299841"
"94293162","WOHNUNG MIT 42.02 m² WOHNFLÄCHE (inkl. Balkon/Terrasse)","93000","42","1","na","na","http://www.immobilienscout24.de/expose/94293162"
"94287538","Jetzt bezugsfertig exklusive Neubau Penthouse-Loft ---sonnige Süd-Dachterrasse--","495000","110","2","na","na","http://www.immobilienscout24.de/expose/94287538"
"94287505","LUXUS KERNSANIERTE 5 ZW + VIELE EXTRAS","530000","135","5","na","na","http://www.immobilienscout24.de/expose/94287505"
"94285521","'' Kernsaniert - 45-Zi.-EG-ETW im Zentrum von S-Obertürkheim ''","230000","92","4","na","na","http://www.immobilienscout24.de/expose/94285521"
"94281779","Exklusive Wohneinheit! 2- bis 3-Zimmer-Loftwohnung in bevorzugter Wohnlage","780000","89","3","na","na","http://www.immobilienscout24.de/expose/94281779"
"94278410","Helle und großzügige 5-Zimmer-Wohnung mit Charme in ansprechender Wohneinheit!","549000","135","5","na","na","http://www.immobilienscout24.de/expose/94278410"
"94278029","Großzügige und moderne 5-6-Zimmer-DG-Maisonette-Wohnung mit fantastischer Panoramaaussicht!","849800","195","5","na","na","http://www.immobilienscout24.de/expose/94278029"
"94270372","*** Die Gelegenheit in Muckensturm! +++ EBK Südbalkon und Garage***","292000","73","3","na","na","http://www.immobilienscout24.de/expose/94270372"
"94263512","Neubau 3-Zimmer Maisonetten Wohnung mit Balkon.","469000","88","3","na","na","http://www.immobilienscout24.de/expose/94263512"
"94262442","Helle sonnige Dachmaisonettewohnung in ruhiger Stadtlage","650000","152","4","na","na","http://www.immobilienscout24.de/expose/94262442"
"94262375","Barrierefreie 4-Zimmer-Wohnung mit  Aufzug Balkon und 2 Stellplätzen","530000","99","4","na","na","http://www.immobilienscout24.de/expose/94262375"
"94262372","Neubau Tolle 15 Zimmer EG Wohnung mit großer Terrasse.","274000","48","1","na","na","http://www.immobilienscout24.de/expose/94262372"
"94261256","Sonnige 2-3 Zi-Terrassenwohnung in Südlage in ruhiger und grüner Lage von Stuttgart-Zuffenhausen.","259000","80","2","na","na","http://www.immobilienscout24.de/expose/94261256"
"94261207","Sonnige 3 Zi-Terrassenwohnung 70 qm Südterrasse ruhiger und grüner Lage von Stuttgart-Zuffenhausen","259000","80","3","na","na","http://www.immobilienscout24.de/expose/94261207"
"94259321","**ZENTRAL** gelegene und charmante 2-3 Zimmer Maisonette DG Wohnung","180000","60","2","na","na","http://www.immobilienscout24.de/expose/94259321"
"94258524","3 Zimmer in zentraler Lage im Stuttgarter-Osten zu verkaufen","325000","75","3","Ost, Stuttgart","48.7820069 9.2086769","http://www.immobilienscout24.de/expose/94258524"
"94254629","Wohnen am Lederberg - Ideal für Kapitalanleger - Ihr Mieter ist schon da !","188000","72","3","Heumaden, Stuttgart","48.7444841 9.2329917","http://www.immobilienscout24.de/expose/94254629"
"94253954","Helle gut geschnittene 3-Zimmer-Wohnung mit Einbauküche Balkon","224500","71","3","Rot, Stuttgart","48.8339645 9.1915555","http://www.immobilienscout24.de/expose/94253954"
"94250489","ÜBER DEN DÄCHERN DES WESTENS","430000","111","4","West, Stuttgart","48.7670839 9.1087963","http://www.immobilienscout24.de/expose/94250489"
"94250448","WOHNTRAUM IM HERZEN DES WESTENS","682000","160","5","West, Stuttgart","48.7670839 9.1087963","http://www.immobilienscout24.de/expose/94250448"
"94246045","Provisionsfrei!!! Renovierte zentrale zwei Zimmer Wohnung mit Garage","198000","50","2","Schönestraße 35, Bad Cannstatt, Stuttgart","48.80127 9.21273","http://www.immobilienscout24.de/expose/94246045"
"94245459","Wohnung in Aussichtlage","275000","87","3","Giebel, Stuttgart","48.8052543 9.0906619","http://www.immobilienscout24.de/expose/94245459"
"94239614","Gepflegt und modernisierte 2-Zimmer Eigentumswohnung","220000","56","2","Nordbahnhofstraße 177, Nord, Stuttgart","48.8041017 9.189297","http://www.immobilienscout24.de/expose/94239614"
"94239000","Schöne 4 Zimmer Wohnung in der Stuttgarter Innenstadt","393500","119","4","Mitte, Stuttgart","48.7791249 9.1800904","http://www.immobilienscout24.de/expose/94239000"
"94238996","Schöne 4 Zimmer Wohnung in der Stuttgarter Innenstadt","393500","119","4","Mitte, Stuttgart","48.7791249 9.1800904","http://www.immobilienscout24.de/expose/94238996"
"94238992","Schöne 4 Zimmer Wohnung in der Stuttgarter Innenstadt","376500","114","4","Mitte, Stuttgart","48.7791249 9.1800904","http://www.immobilienscout24.de/expose/94238992"
"94238982","Denkmalgeschützte 4- Zimmer Altbau Wohnung im Herzen von Stuttgart","370000","111","4","Mitte, Stuttgart","48.7791249 9.1800904","http://www.immobilienscout24.de/expose/94238982"
"94234319","Schöne vier Zimmer Wohnung in Feuerbach","575000","105","4","Feuerbach, Stuttgart","48.8116009 9.1589461","http://www.immobilienscout24.de/expose/94234319"
"94234137","Charmante 4 Zimmer-Wohnung in See-Nähe","339000","103","4","Hofen, Stuttgart","48.8319502 9.2166418","http://www.immobilienscout24.de/expose/94234137"
"94218087","Exklusive Designer-Wohnung über den Dächern Stuttgarts","1190000","164","6","Mitte, Stuttgart","48.7791249 9.1800904","http://www.immobilienscout24.de/expose/94218087"
"94217341","Sonnige Wohnung in ruhiger Lage verkehrsgünstig angebunden","280000","80","4","Laichinger Straße 3, Wangen, Stuttgart","48.77499 9.24218","http://www.immobilienscout24.de/expose/94217341"
"94202462","Erbpacht: 2-Zimmerwohnung in zentraler Lage von Stuttgart-Rot","139000","42","2","Rot, Stuttgart","48.8339645 9.1915555","http://www.immobilienscout24.de/expose/94202462"
"94202014","Attraktive 35-Zimmer Wohnung im Grünen mit schöner Terrasse und Privatsphäre","318000","80","3","Birkach, Stuttgart","48.726765 9.2015155","http://www.immobilienscout24.de/expose/94202014"
"94186372","Aussicht pur exklusive Dachgeschosswohnung mit Terrasse und Panoramablick","684000","101","2","Birkenwaldstrasse 185, Nord, Stuttgart","48.796517 9.1754593","http://www.immobilienscout24.de/expose/94186372"
"94184948","Lage Lage Lage! 2-Zimmer-Wohnung mit Balkon in begehrter Lage des Stuttgarter Westen!","225000","58","2","West, Stuttgart","48.7670839 9.1087963","http://www.immobilienscout24.de/expose/94184948"
"94169385","***PROVISIONSFREI***Hochwertig renovierte Dachgeschoß-Wohnung***","365000","75","2","Bernsteinstraße 00, Heumaden, Stuttgart","48.7380841 9.2271902","http://www.immobilienscout24.de/expose/94169385"
"94169160","Kleine Wohlfühl-Oase am Rande der Großstadt bietet 1-2 Zimmer Dach-Balkon inkl. Garage u.v.m.","210000","50","2","Riedenberg, Stuttgart","48.7361281 9.2109935","http://www.immobilienscout24.de/expose/94169160"
"94167634","Maßarbeit - jeder Quadratmeter ein Wohnerlebnis","283400","74","3","Ost, Stuttgart","48.7820069 9.2086769","http://www.immobilienscout24.de/expose/94167634"
